Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.07.2004;38.3;-9.829137182;;12.30684795;;-9.901975616;;3.310731115;-12.13389977;-13.28123155;-0.851171273;;-4.098863702;
01.08.2004;43;-10.07517299;;12.78640727;;-15.59822071;;3.636607847;-11.55769595;-17.90492182;0.733803482;;-4.354686276;
01.09.2004;43.3;-9.914913683;;15.33333338;;-15.97341894;;3.453691223;-8.265095216;-18.46114023;1.943375957;;-3.703927275;
01.10.2004;49.6;-12.21950908;;16.02448536;;-17.86802094;;2.39631204;-11.85593374;-23.12080474;-2.339436547;;-10.34252207;
01.11.2004;42.8;-8.527305297;;18.03459992;;-13.70822168;;5.225351148;-7.468360326;-20.83650077;-2.645557301;;-11.41564172;
01.12.2004;39.5;-7.356927752;;15.07612358;;-11.91839093;;3.172932485;-8.141715468;-18.10055349;-5.718590195;;-10.47893782;
01.01.2005;44.2;-14.16487769;;11.66964172;;-13.82677357;;-0.624433233;-14.70557948;-20.18585548;-4.062812857;;-7.843960839;
01.02.2005;45.4;-14.97046104;;13.74099889;;-13.89146311;;1.004876696;-14.35769675;-19.18557076;-2.496978233;;-4.579708924;
01.03.2005;52.9;-17.42655459;;17.28899596;;-15.07101517;;0.319647676;-18.42243488;-21.84536349;-0.584060507;;-5.897790683;
01.04.2005;51.8;-18.32552579;;21.25085142;;-10.91415599;;0.660820224;-20.74190346;-16.27182102;1.582047123;;-3.245976073;
01.05.2005;48.6;-17.80558447;;17.28733717;;-10.18728099;;-1.979918596;-19.73304229;-13.88576104;2.417746733;;-0.968005496;
01.06.2005;54.4;-22.49854471;;18.53402199;;-12.85126368;;-5.701992365;-22.02335427;-18.50271163;0.305267113;;-2.074620861;
01.07.2005;57.6;-24.56898516;;17.10918551;;-13.82039512;;-5.533837862;-24.12523679;-19.81884718;-3.73456169;;-5.876523479;
01.08.2005;64.1;-27.86901433;;16.7420277;;-18.30807597;;-5.284583837;-25.93683634;-23.72414923;-2.055056785;;-5.004334243;
01.09.2005;62.9;-20.64069517;;22.45752731;;-10.99767307;;0.560520275;-18.17931551;-19.84887047;1.178316854;;-2.943754306;
01.10.2005;58.6;-14.5750936;;24.32570566;;-7.892559401;;2.158281953;-12.91756293;-17.48866372;-1.832681585;;-7.659368638;
